SrNo,TestLinkId,TestScriptName,TestMethodName
924,12106,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_even_parity
925,12107,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_stop_bits_1
926,12108,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_stop_bits_2
927,12109,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_invalid_baudrate
928,12110,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_invalid_comm_type
929,12111,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_invalid_data_bits
930,12112,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_invalid_parity
931,12113,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_invalid_stop_bits
932,12114,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_invalid_data
933,12115,ma1000_cc,test_cc_cls_authenticate_user_valid_timeout_min
934,12116,ma1000_cc,test_cc_cls_authenticate_user_valid_timeout_mid
935,12117,ma1000_cc,test_cc_cls_authenticate_user_valid_timeout_max
936,12118,ma1000_cc,test_cc_cls_authenticate_user_valid_timeout_zero
937,12119,ma1000_cc,test_cc_cls_authenticate_user_invalid_timeout_upper
938,12120,ma1000_cc,test_cc_cls_authenticate_user_valid_with_no_finger_detected
939,12121,ma1000_cc,test_cc_cls_authenticate_user_valid_with_cancelled_operation
940,12122,ma1000_cc,test_cc_cls_authenticate_user_invalid_threshold_upper
941,12123,ma1000_cc,test_cc_cls_authenticate_user_valid_no_template
942,12124,ma1000_cc_key,test_cc_key_load_valid_crypto1_algo_for_mifare
943,12125,ma1000_cc_key,test_cc_key_load_valid_aes_algo_for_mifare
944,12126,ma1000_cc_key,test_cc_key_load_valid_both_algo_mifare_key_with_all_index
945,12127,ma1000_cc_key,test_cc_key_load_valid_key_with_validity_date_start_check_for_mifare_3des
946,12128,ma1000_cc_key,test_cc_key_load_valid_key_with_validity_date_start_check_for_mifare_aes_128
947,12129,ma1000_cc_key,test_cc_key_load_invalid_key_version_less_than_superior_for_mifare_aes128
948,12130,ma1000_cc_key,test_cc_key_load_invalid_key_version_less_than_superior_for_mifare_3des
949,12131,ma1000_cc_key,test_cc_key_load_valid_sector_index_min
950,12132,ma1000_cc_key,test_cc_key_load_valid_sector_index_mid
951,12133,ma1000_cc_key,test_cc_key_load_valid_sector_index_max
952,12134,ma1000_cc_key,test_cc_key_load_valid_value_for_key_a
953,12135,ma1000_cc_key,test_cc_key_load_valid_value_for_key_b
954,12136,ma1000_cc_key,test_cc_key_load_invalid_3des_algo_for_mifare
955,12137,ma1000_cc_key,test_cc_key_load_invalid_algo_for_mifare
956,12138,ma1000_cc_key,test_cc_key_load_invalid_key_validity_date_start_for_mifare
957,12139,ma1000_cc_key,test_cc_key_load_invalid_select_index_upper
958,12140,ma1000_cc_key,test_cc_key_load_invalid_value_for_key_a
959,12141,ma1000_cc_key,test_cc_key_load_invalid_value_for_key_b
960,12142,ma1000_cc_key,test_cc_key_load_valid_3des_algo_for_desfire
961,12143,ma1000_cc_key,test_cc_key_load_valid_aes_algo_for_desfire
962,12144,ma1000_cc_key,test_cc_key_load_valid_picc_master_key_id
963,12145,ma1000_cc_key,test_cc_key_load_valid_app_key_0
964,12146,ma1000_cc_key,test_cc_key_load_valid_app_key_1
965,12147,ma1000_cc_key,test_cc_key_load_valid_all_app_key_with_both_algo_desfire
966,12148,ma1000_cc_key,test_cc_key_load_valid_validty_start_date
967,12149,ma1000_cc_key,test_cc_key_load_valid_key_validty_duration_mid
968,12150,ma1000_cc_key,test_cc_key_load_valid_key_validty_duration_max
969,12151,ma1000_cc_key,test_cc_key_load_valid_key_validty_duration_zero
970,12152,ma1000_cc_key,test_cc_key_load_valid_key_version_zero
971,12153,ma1000_cc_key,test_cc_key_load_valid_key_version_mid
972,12154,ma1000_cc_key,test_cc_key_load_valid_key_version_max
973,12155,ma1000_cc_key,test_cc_key_load_invalid_algo_for_desfire
974,12156,ma1000_cc_key,test_cc_key_load_invalid_key_id
975,12157,ma1000_cc_key,test_cc_key_load_valid_key_with_validity_date_start_check
976,12158,ma1000_cc_key,test_cc_key_load_invalid_key_value
977,12159,ma1000_cc_key,test_cc_key_load_invalid_key_validity_date_start
978,12160,ma1000_cc_key,test_cc_key_load_invalid_key_validity_duration
979,12161,ma1000_cc_key,test_cc_key_load_invalid_key_version_less_than_superior
980,12162,ma1000_cc_key,test_cc_key_load_valid_key_for_iclass
981,12163,ma1000_cc_key,test_cc_key_load_valid_key_check_with_validity_check_iclass
982,12164,ma1000_cc_key,test_cc_key_load_valid_key_check_with_version_iclass
983,12165,ma1000_cc_key,test_cc_key_load_invalid_key_for_iclass
984,12166,ma1000_cc_key,test_cc_key_load_valid_primary_key_for_l1
985,12167,ma1000_cc_key,test_cc_key_load_valid_secondary_key_for_l1
986,12168,ma1000_cc_key,test_cc_key_load_valid_with_both_key_for_l1
987,12169,ma1000_cc_key,test_cc_key_load_invalid_index_key_for_l1
988,12170,ma1000_cc_key,test_cc_key_load_invalid_primary_key_for_l1
989,12171,ma1000_cc_key,test_cc_key_load_invalid_secondary_key_for_l1
990,12172,ma1000_cc_key,test_cc_key_load_valid_key_for_rsa
991,12173,ma1000_cc_key,test_cc_key_load_valid_key_check_with_validity_check_rsa
992,12174,ma1000_cc_key,test_cc_key_load_valid_key_check_with_version_rsa
993,12175,ma1000_cc_key,test_cc_key_load_invalid_key_for_rsa
994,12176,ma1000_cc_key,test_cc_key_load_valid_empty_list
995,12177,ma1000_cc_key,test_cc_key_load_valid_with_all_algo_keys
996,12178,ma1000_cc_key,test_cc_key_reset_valid_mifare_classic_card
997,12179,ma1000_cc_key,test_cc_key_reset_valid_mifare_aes_card
998,12180,ma1000_cc_key,test_cc_key_reset_valid_desfire_3des_card
999,12181,ma1000_cc_key,test_cc_key_reset_valid_desfire_aes_card
1000,12182,ma1000_cc_key,test_cc_key_reset_valid_iclass_card
1001,12183,ma1000_cc_key,test_cc_key_reset_valid_l1_keys
1002,12184,ma1000_cc_key,test_cc_key_reset_valid_rsa_keys
1003,12185,ma1000_cc_key,test_cc_key_reset_valid_all_type
1004,12186,ma1000_cc_key,test_cc_key_reset_invalid_type
1005,12187,ma1000_cc,test_cc_cls_get_info_valid_with_card
1006,12188,ma1000_cc,test_cc_cls_get_info_valid_timeout_min
1007,12189,ma1000_cc,test_cc_cls_get_info_valid_timeout_mid
